id,scrape_id,host_id,host_since,host_response_rate,host_acceptance_rate,host_is_superhost,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,listings_count,listings_count_home,listings_count_p_rooms,listings_count_s_rooms,reviews_per_month
306192,20241229042348,1574682,2012-01-06,96.88028169014085,0.0,0,1,Sooke,Sooke,48.38343,-123.70666,Entire guesthouse,Entire home/apt,4,1.0,1.0,1.0,"[""Sea view"", ""43 inch HDTV with standard cable"", ""Private backyard \u2013 Not fully fenced"", ""Outdoor furniture"", ""Dishes and silverware"", ""Waterfront"", ""Hair dryer"", ""Smoke alarm"", ""Long term stays allowed"", ""Room-darkening shades"", ""Ethernet connection"", ""Radiant heating"", ""Indoor fireplace: gas"", ""Fast wifi \u2013 82 Mbps"", ""Refrigerator"", ""Host greets you"", ""Private beach access"", ""Boat slip"", ""Luggage dropoff allowed"", ""Dining table"", ""Harbor view"", ""Electric stove"", ""Bathtub"", ""Essentials"", ""Oven"", ""Toaster"", ""Bay view"", ""Private entrance"", ""Private patio or balcony"", ""Hot water kettle"", ""Books and reading material"", ""Hot water"", ""Kitchen"", ""Hangers"", ""Fire extinguisher"", ""Microwave"", ""Coffee maker: Keurig coffee machine"", ""Baking sheet"", ""Coffee"", ""Dishwasher"", ""Body soap"", ""Free dryer \u2013 In unit"", ""Carbon monoxide alarm"", ""Sun loungers"", ""Free washer \u2013 In unit"", ""Free driveway parking on premises \u2013 1 space"", ""Cooking basics"", ""Single level home"", ""Iron"", ""Bed linens"", ""Wine glasses"", ""Clothing storage: wardrobe"", ""Beach view"", ""Freezer""]",215.0,5,1125,1,27,57,87,361,2024-12-29,95,0,0,4.98,4.98,4.98,4.95,4.99,4.96,4.98,0,1.0,1,0,0,0.62
394086,20241229042348,1923756,2012-03-14,100.0,71.0,0,1,North Jubilee,Victoria,48.43202,-123.32535,Private room in guest suite,Private room,2,1.0,1.0,1.0,"[""Free parking on premises"", ""Outdoor furniture"", ""Dishes and silverware"", ""Hair dryer"", ""Smoke alarm"", ""Outdoor dining area"", ""Host greets you"", ""Essentials"", ""Heating"", ""Dryer"", ""Private entrance"", ""Fire pit"", ""TV with standard cable"", ""Hammock"", ""Private living room"", ""Kitchen"", ""Hangers"", ""Wifi"", ""BBQ grill"", ""First aid kit"", ""Cooking basics"", ""Washer"", ""Extra pillows and blankets"", ""Iron"", ""Bed linens"", ""Carbon monoxide alarm""]",110.0,30,365,1,30,60,90,365,2024-12-29,128,3,1,4.92,4.91,4.95,4.95,4.93,4.79,4.8,0,2.0,0,2,0,0.83
401073,20241229042348,2001974,2012-03-25,100.0,92.0,0,1,James Bay,Victoria,48.41282,-123.37677,Entire rental unit,Entire home/apt,5,1.0,1.0,3.0,"[""Long term stays allowed"", ""Dishes and silverware"", ""Hair dryer"", ""Smoke alarm"", ""Refrigerator"", ""Free street parking"", ""Shampoo"", ""Lockbox"", ""Self check-in"", ""Essentials"", ""Oven"", ""Heating"", ""Dryer"", ""Private entrance"", ""TV with standard cable"", ""Hot water"", ""Kitchen"", ""Hangers"", ""Fire extinguisher"", ""Wifi"", ""Microwave"", ""Pets allowed"", ""Paid parking on premises"", ""Dishwasher"", ""Cooking basics"", ""Washer"", ""Iron"", ""Bed linens"", ""Coffee maker"", ""Carbon monoxide alarm"", ""Stove""]",100.0,90,1125,1,0,0,0,90,2024-12-29,22,0,0,4.59,4.73,4.27,4.86,4.77,4.86,4.59,0,17.0,17,0,0,0.19
405558,20241229042348,2001974,2012-03-25,100.0,92.0,0,1,James Bay,Victoria,48.41101,-123.37691,Entire rental unit,Entire home/apt,4,1.0,0.0,2.0,"[""Long term stays allowed"", ""Dishes and silverware"", ""Hair dryer"", ""Smoke alarm"", ""Refrigerator"", ""Free street parking"", ""Shampoo"", ""Lockbox"", ""Self check-in"", ""Essentials"", ""Oven"", ""Heating"", ""Dryer"", ""TV with standard cable"", ""Hot water"", ""Kitchen"", ""Hangers"", ""Wifi"", ""Microwave"", ""Pets allowed"", ""Paid parking on premises"", ""Dishwasher"", ""Cooking basics"", ""Washer"", ""Iron"", ""Coffee maker"", ""Carbon monoxide alarm"", ""Stove""]",86.0,90,1028,1,0,0,0,185,2024-12-29,30,0,0,4.52,4.57,4.6,4.9,4.76,4.93,4.53,0,17.0,17,0,0,0.2
408315,20241229042348,2032438,2012-03-29,96.88028169014085,100.0,0,1,Sidney,Sidney,48.66168,-123.40394,Entire home,Entire home/apt,5,1.5,3.0,3.0,"[""Private backyard \u2013 Not fully fenced"", ""Outdoor furniture"", ""Free parking on premises"", ""Dishes and silverware"", ""Waterfront"", ""Hair dryer"", ""Smoke alarm"", ""Long term stays allowed"", ""Stove"", ""Room-darkening shades"", ""Ethernet connection"", ""Refrigerator"", ""Indoor fireplace: gas"", ""Free dryer \u2013 In building"", ""Outdoor dining area"", ""Shampoo"", ""Dining table"", ""Lockbox"", ""Sony sound system with aux"", ""Self check-in"", ""Essentials"", ""Oven"", ""Toaster"", ""Blender"", ""Bay view"", ""Heating"", ""Private entrance"", ""Private patio or balcony"", ""Hot water kettle"", ""Hot water"", ""Books and reading material"", ""Ceiling fan"", ""Kitchen"", ""Hangers"", ""Fire extinguisher"", ""Wifi"", ""Microwave"", ""Baking sheet"", ""BBQ grill"", ""Laundromat nearby"", ""Dishwasher"", ""First aid kit"", ""Barbecue utensils"", ""55 inch HDTV with Netflix, standard cable, DVD player"", ""Dedicated workspace"", ""Free washer \u2013 In building"", ""Portable fans"", ""Cooking basics"", ""Rice maker"", ""Extra pillows and blankets"", ""Iron"", ""Bed linens"", ""Coffee maker"", ""Wine glasses"", ""Beach access \u2013 Beachfront"", ""Carbon monoxide alarm"", ""Board games"", ""Kayak""]",377.0,91,1125,1,0,0,0,179,2024-12-29,24,2,0,5.0,5.0,4.79,4.96,5.0,5.0,4.92,0,1.0,1,0,0,0.19
410541,20241229042348,2001974,2012-03-25,100.0,92.0,0,1,Fernwood,Victoria,48.42599,-123.33919,Entire rental unit,Entire home/apt,2,1.0,0.0,1.0,"[""Long term stays allowed"", ""Dishes and silverware"", ""Hair dryer"", ""Smoke alarm"", ""Refrigerator"", ""Free street parking"", ""Shampoo"", ""Lockbox"", ""Self check-in"", ""Essentials"", ""Oven"", ""Heating"", ""Dryer"", ""TV with standard cable"", ""Hot water"", ""Kitchen"", ""Hangers"", ""Wifi"", ""Microwave"", ""Pets allowed"", ""Paid parking on premises"", ""Dishwasher"", ""Cooking basics"", ""Washer"", ""Iron"", ""Coffee maker"", ""Stove""]",76.0,90,1124,1,30,60,90,365,2024-12-29,27,0,0,4.5,4.7,4.78,4.78,4.69,4.52,4.41,0,17.0,17,0,0,0.18
410542,20241229042348,2001974,2012-03-25,100.0,92.0,0,1,Rockland,Victoria,48.42436,-123.341,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,"[""Long term stays allowed"", ""Dishes and silverware"", ""Hair dryer"", ""Smoke alarm"", ""Refrigerator"", ""Free street parking"", ""Shampoo"", ""Lockbox"", ""Self check-in"", ""Essentials"", ""Oven"", ""Heating"", ""Dryer"", ""Private entrance"", ""TV with standard cable"", ""Hot water"", ""Indoor fireplace"", ""Kitchen"", ""Hangers"", ""Wifi"", ""Microwave"", ""Pets allowed"", ""Paid parking on premises"", ""Dishwasher"", ""Cooking basics"", ""Washer"", ""Iron"", ""Bed linens"", ""Coffee maker"", ""Stove""]",76.0,90,1124,1,0,0,0,272,2024-12-29,23,1,0,4.41,4.35,4.61,4.74,4.65,4.87,4.41,0,17.0,17,0,0,0.15
416786,20241229042348,2001974,2012-03-25,100.0,92.0,0,1,Fernwood,Victoria,48.42634,-123.34648,Entire home,Entire home/apt,5,1.0,2.0,2.0,"[""Long term stays allowed"", ""Dishes and silverware"", ""Hair dryer"", ""Smoke alarm"", ""Backyard"", ""Patio or balcony"", ""Refrigerator"", ""Free street parking"", ""Shampoo"", ""Lockbox"", ""Self check-in"", ""Bathtub"", ""Essentials"", ""Oven"", ""Heating"", ""Dryer"", ""Private entrance"", ""TV with standard cable"", ""Hot water"", ""Indoor fireplace"", ""Kitchen"", ""Hangers"", ""Wifi"", ""Microwave"", ""BBQ grill"", ""Pets allowed"", ""Paid parking on premises"", ""Dishwasher"", ""Cooking basics"", ""Washer"", ""Iron"", ""Coffee maker"", ""Carbon monoxide alarm"", ""Stove""]",113.0,90,1124,1,1,1,1,274,2024-12-29,24,0,0,4.5,4.67,4.71,4.88,4.83,4.25,4.25,0,17.0,17,0,0,0.16
417778,20241229042348,1923756,2012-03-14,100.0,71.0,0,1,North Jubilee,Victoria,48.43202,-123.32673,Private room in guest suite,Private room,2,1.0,1.0,0.0,"[""Free parking on premises"", ""Long term stays allowed"", ""Dishes and silverware"", ""Hair dryer"", ""Smoke alarm"", ""Lock on bedroom door"", ""Refrigerator"", ""Host greets you"", ""Luggage dropoff allowed"", ""Shared patio or balcony"", ""Essentials"", ""Oven"", ""Heating"", ""Dryer"", ""Private entrance"", ""TV with standard cable"", ""Private living room"", ""Hot water"", ""Kitchen"", ""Hangers"", ""Fire extinguisher"", ""Wifi"", ""Microwave"", ""BBQ grill"", ""Dishwasher"", ""First aid kit"", ""Dedicated workspace"", ""Cooking basics"", ""Washer"", ""Iron"", ""Bed linens"", ""Coffee maker"", ""Private backyard \u2013 Fully fenced"", ""Carbon monoxide alarm"", ""Stove""]",120.0,30,365,1,29,59,89,364,2024-12-29,95,3,0,4.89,4.87,4.98,4.95,4.9,4.79,4.84,0,2.0,0,2,0,0.63
461498,20241229042348,2001974,2012-03-25,100.0,92.0,0,1,Rockland,Victoria,48.42398,-123.33868,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,"[""Long term stays allowed"", ""Dishes and silverware"", ""Hair dryer"", ""Smoke alarm"", ""Refrigerator"", ""Free street parking"", ""Shampoo"", ""Lockbox"", ""Self check-in"", ""Essentials"", ""Oven"", ""Heating"", ""Dryer"", ""TV with standard cable"", ""Hot water"", ""Indoor fireplace"", ""Kitchen"", ""Hangers"", ""Wifi"", ""Microwave"", ""Pets allowed"", ""Paid parking on premises"", ""Dishwasher"", ""Cooking basics"", ""Washer"", ""Iron"", ""Coffee maker"", ""Stove""]",76.0,90,1124,1,0,0,0,243,2024-12-29,28,1,1,4.41,4.54,4.61,4.79,4.71,4.57,4.57,0,17.0,17,0,0,0.19
